ID,ideology,leadership,name,party,description,introduced_bills_117,cosponsored_bills_117,unique_cosponsors_117,total_cosponsors_117
400237,0.0,0.9406027966739905,Lee [CA13],Democrat,progressive Democratic leader,15,113,189,412
412613,0.1336492666999792,0.5527402372624695,DeSaulnier,Democrat,progressive Democrat,1,73,0,0
412615,0.290544196758558,0.29202620271070495,Aguilar,Democrat,moderate Democratic follower,0,23,0,0
412687,0.11647506982688119,0.5532834954305682,BarragÃ¡n,Democrat,progressive Democrat,5,72,72,104
412657,0.22401544124403847,0.8164658355654023,Beyer,Democrat,moderate Democratic leader,5,57,108,136
400033,0.15459958830615136,0.9471633813931672,Blumenauer,Democrat,progressive Democratic leader,8,97,117,150
412689,0.2667274753289845,0.43744288160811234,Blunt Rochester,Democrat,rank-and-file Democrat,7,63,33,41
412501,0.2216663258022576,0.6035895567632183,Bonamici,Democrat,rank-and-file Democrat,1,75,8,8
412652,0.293911694897852,0.5911191659700263,Boyle,Democrat,rank-and-file Democrat,4,44,2,2
412707,0.23858954450913944,0.696152036438475,Brown,Democrat,rank-and-file Democrat,6,41,7,7
412686,0.29706624646963914,0.6857768071782336,Carbajal,Democrat,rank-and-file Democrat,5,51,38,42
412517,0.23199548032112888,0.7845163608750417,CÃ¡rdenas,Democrat,rank-and-file Democrat,3,55,3,3
412571,0.3212005781175409,0.8341306098815232,Cartwright,Democrat,moderate Democratic leader,1,22,21,21
412195,0.1836312105355179,0.7930081007285922,Castor,Democrat,rank-and-file Democrat,0,63,0,0
412379,0.14580735186520075,0.8587122299962396,Chu,Democrat,progressive Democratic leader,2,74,62,72
412600,0.19949983140356248,0.7202785311666045,Clark,Democrat,rank-and-file Democrat,1,32,0,0
412221,0.11480628184980442,0.6615334952147999,Clarke,Democrat,progressive Democrat,1,73,34,34
400639,0.23624480619288113,0.6305412787335707,Cleaver,Democrat,rank-and-file Democrat,0,40,0,0
400101,0.24261488049927768,0.7856704950918801,DeGette,Democrat,rank-and-file Democrat,3,45,79,81
412696,0.25028004600627235,0.5191809302940315,Demings,Democrat,rank-and-file Democrat,0,52,0,0
400124,0.2672564076154105,0.7095932283385294,Eshoo,Democrat,rank-and-file Democrat,6,46,63,78
412382,0.3146607417169875,0.8061929342648552,Garamendi,Democrat,moderate Democratic leader,3,34,34,38
400162,0.10762161104863255,0.8446633038278607,Grijalva,Democrat,progressive Democratic leader,1,87,1,1
400170,0.1671519091453671,0.7459464365881651,Hastings,Democrat,progressive Democrat,4,107,47,55
400641,0.27687296470860034,0.5976271214269812,Higgins [NY26],Democrat,rank-and-file Democrat,1,39,0,0
412511,0.20191690641110183,0.8357627585990817,Huffman,Democrat,moderate Democratic leader,5,53,98,155
412730,0.07430478488859485,0.8128399896724602,Jayapal,Democrat,progressive Democratic leader,3,69,44,45
412199,0.18284140228925053,0.7998448278138371,Johnson [GA4],Democrat,moderate Democratic leader,2,79,115,134
412684,0.16916278493672368,0.7272294353248986,Khanna,Democrat,progressive Democrat,0,105,0,0
400232,0.2519121991033932,0.537642211708003,Larsen,Democrat,rank-and-file Democrat,2,28,13,15
412616,0.23583048387469072,0.8091043346905755,Lieu,Democrat,moderate Democratic leader,10,47,50,56
400245,0.28618228877189017,0.8490112919108856,Lofgren,Democrat,moderate Democratic leader,1,20,0,0
412521,0.14768447618591493,0.8044708450625446,Lowenthal,Democrat,progressive Democratic leader,0,98,0,0
412562,0.28712259446531574,0.7348489898032232,Maloney [NY18],Democrat,rank-and-file Democrat,1,27,8,8
400663,0.2469775307202586,0.6739901200196395,Matsui,Democrat,rank-and-file Democrat,1,44,2,2
400259,0.2162598192686654,0.6094033475048664,McCollum,Democrat,rank-and-file Democrat,0,40,0,0
412728,0.2105908334641634,0.7183044497709805,McEachin,Democrat,rank-and-file Democrat,3,32,16,17
412189,0.21119620550756524,0.3159872635620455,McNerney,Democrat,moderate Democratic follower,0,48,0,0
412560,0.20485361952553865,0.888229825971978,Meng,Democrat,moderate Democratic leader,4,81,99,140
400295,0.05264235137457987,0.7510844269391653,Norton,Democrat,progressive Democrat,9,170,211,232
412685,0.3041965838677645,0.819784356113386,Panetta,Democrat,moderate Democratic leader,3,62,17,18
412192,0.3520136014161477,0.5471686786199805,Perlmutter,Democrat,centrist Democrat,0,27,0,0
412523,0.37957037545378625,0.7741293242266271,Peters,Democrat,centrist Democrat,4,30,26,27
412307,0.2877245056922436,0.49277966620803415,Pingree,Democrat,rank-and-file Democrat,1,66,1,1
412585,0.17748944517908627,0.7710138975907824,Pocan,Democrat,progressive Democrat,0,73,0,0
412331,0.2298384345635003,0.8195081241061696,Quigley,Democrat,moderate Democratic leader,4,31,142,198
400347,0.1651775414263556,0.7542941653606484,Roybal-Allard,Democrat,progressive Democrat,1,56,30,30
412519,0.3483074426864019,0.7387114901405086,Ruiz,Democrat,centrist Democrat,9,20,16,16
400350,0.22813961612652994,0.7424447315792256,Rush,Democrat,rank-and-file Democrat,16,58,153,226
400352,0.33483052741458397,0.677328977728231,Ryan,Democrat,centrist Democrat,2,65,10,10
400360,0.07752789128329737,0.9358430476708326,Schakowsky,Democrat,progressive Democratic leader,9,109,75,109
400361,0.23914760204672375,0.6995863176910766,Schiff,Democrat,rank-and-file Democrat,2,35,17,17
412186,0.24975276582146438,0.3539335124626753,Sires,Democrat,moderate Democratic follower,4,76,0,0
400379,0.16350732200648435,0.5870635872435014,Smith [WA9],Democrat,progressive Democrat,2,61,3,3
412259,0.20848165595187346,0.9927245315593435,Speier,Democrat,moderate Democratic leader,6,46,206,266
412717,0.33897896038888464,0.5015209623910015,Suozzi,Democrat,centrist Democrat,1,69,22,22
412520,0.17145022942476934,0.7972070778766798,Takano,Democrat,progressive Democratic leader,2,65,0,0
400403,0.30706986143257836,0.9791021268899246,Thompson [CA5],Democrat,moderate Democratic leader,11,38,85,125
412319,0.26028009791174905,0.8878012099005392,Tonko,Democrat,moderate Democratic leader,2,50,164,168
412617,0.2488892069297222,0.6253924743146649,Torres [CA35],Democrat,rank-and-file Democrat,1,30,0,0
412239,0.26776473867228096,0.7217809550969999,Welch,Democrat,rank-and-file Democrat,1,67,1,1
400189,0.27745756192332405,0.37203478588077626,Hoyer,Democrat,rank-and-file Democrat,5,12,0,0
412272,0.2536788104802394,0.854833278861927,Connolly,Democrat,moderate Democratic leader,11,60,78,122
412708,0.13919541568785193,0.6774572287849415,Raskin,Democrat,progressive Democrat,1,67,147,147
412529,0.27920853091995557,0.7222799793099965,Frankel,Democrat,rank-and-file Democrat,0,25,0,0
412607,0.2138631507195718,0.7362029872304838,Adams,Democrat,rank-and-file Democrat,4,50,12,12
412516,0.28835570398842275,0.8360669244057568,Brownley,Democrat,moderate Democratic leader,20,60,78,162
412537,0.35160790232377437,0.587201988945471,Bustos,Democrat,centrist Democrat,2,30,49,49
412470,0.19619490581933682,0.9729289673845155,Cicilline,Democrat,moderate Democratic leader,1,53,217,217
412236,0.1751804640149108,0.8190801150971743,Cohen,Democrat,progressive Democratic leader,9,98,126,153
412688,0.3481303603661035,0.7321939638144501,Correa,Democrat,centrist Democrat,0,19,0,0
400103,0.21984261767927019,0.9754278789692941,DeLauro,Democrat,moderate Democratic leader,5,27,224,583
412505,0.2997452721529002,0.8295151181898972,DelBene,Democrat,moderate Democratic leader,1,45,1,1
412637,0.2455533434922487,0.7667389226213681,Dingell,Democrat,rank-and-file Democrat,7,44,66,76
412257,0.3008744750216476,0.6385629576493874,Foster,Democrat,rank-and-file Democrat,2,44,8,8
412327,0.20897578768912767,0.6471275779749842,Fudge,Democrat,rank-and-file Democrat,0,2,0,0
412612,0.26883045114685167,0.6092295769370478,Gallego,Democrat,rank-and-file Democrat,1,47,72,72
412282,0.3113309597758714,0.3510470525807887,Himes,Democrat,moderate Democratic follower,0,26,0,0
400199,0.11989139590390285,0.8701323307175622,Jackson Lee,Democrat,progressive Democratic leader,33,93,158,199
