,name,party,election_type,twitter_handles
0,Eric Adams,D,mayor,ericadamsfornyc
1,Art Chang,D,mayor,achangnyc
2,Eddie Cullen,D,mayor,eddiecullen4nyc
3,Shaun Donovan,D,mayor,ShaunDonovanNYC
4,Cleopatra Fitzgerald,R,mayor,cleopatrafitz05
5,Aaron Foldenauer,D,mayor,aaronfoldenauer
6,Quanda Francis,D,mayor,QuandaFrancis
7,Kathryn Garcia,D,mayor,KGforNYC
8,Garry Guerrier,O,mayor,Guerrier4Mayor
9,Zach Iscol,D,mayor,zachiscol
10,Christopher S. Krietchman,O,mayor,ChrisKrietchman
11,Abbey Laurel-Smith,R,mayor,The47thPOTUS
12,Ray McGuire,D,mayor,RayForMayor
13,Carlos Menchaca,D,mayor,cmenchaca
14,Dianne Morales,D,mayor,Dianne4NYC
15,Bill Pepitone,R,mayor,PepitoneForNYC
16,Paperboy Prince,D,mayor,PaperboyPrince
17,Stacey Prussman,O,mayor,StaceyPrussman
18,Stephen Bishop Seely,O,mayor,Seely4Mayor
19,Curtis Sliwa,R,mayor,SliwaforNYC2021
20,Scott Stringer,D,mayor,scottmstringer
21,Loree Sutton,D,mayor,LoreeSuttonNYC
22,Ahsan Syed,O,mayor,endorsenyc
23,Joycelyn Taylor,D,mayor,Taylorfor2021
24,Sara Tirschwell,R,mayor,sara4mayor
25,Maya Wiley,D,mayor,mayawiley
26,Isaac Wright Jr.,D,mayor,IsaacWrightJr
27,Andrew Yang,D,mayor,AndrewYang
28,Theo Chino,D,public_advocate,theochino
31,Jumaane Williams,D,public_advocate,JumaaneWilliams
32,Brian Benjamin,D,comptroller,NYSenBenjamin
33,Brad Lander,D,comptroller,bradlander
34,Kevin Parker,D,comptroller,SenatorParker
35,David Weprin,D,comptroller,DavidWeprin
44,Lindsey Boylan,D,manhattan_borough_pres,LindseyBoylan
45,Elizabeth Caputo,D,manhattan_borough_pres,elizabethcaputo
46,Brad Hoylman,D,manhattan_borough_pres,bradhoylman
47,Ben Kallos,D,manhattan_borough_pres,BenKallos
48,Mark Levine,D,manhattan_borough_pres,MarkLevineNYC
49,Kimberly Watkins,D,manhattan_borough_pres,kimwatkinsnyc
