,name,party,website,twitter_handles
0,Eric Adams,Democrat,https://www.ericadams2021.com/,ericadamsfornyc
1,Art Chang,Democrat,https://www.chang.nyc,achangnyc
2,Eddie Cullen,Democrat,https://www.eddiecullen.com/,eddiecullen4nyc
3,Shaun Donovan,Democrat,https://www.shaunfornyc.com/,ShaunDonovanNYC
4,Thomas Downs,Other,https://www.downsformayor.nyc/,DownsforMayor
5,Guiddalia Emilien,Other,https://guiddaliaformayor.com,Guiddalia4Mayor
6,Vitaly Filipchenko,Other,https://www.vitalyformayor.com/,VitalyForMayor
7,Cleopatra Fitzgerald,Democrat,https://cleopatrafitzgeraldforthefiveboroughs.us,cleopatrafitz05
8,Aaron Foldenauer,Democrat,https://aaronfornyc.com/,aaronfoldenauer
9,Quanda Francis,Democrat,https://quandafrancis.com/,QuandaFrancis
10,Kathryn Garcia,Democrat,https://www.kgfornyc.com/,KGforNYC
11,Garry Guerrier,Other,https://garryguerrier4mayor.com/,Guerrier4Mayor
12,Peter Guimaraes,Other,https://twitter.com/tipsygirlnyc,tipsygirlnyc
13,Barbara Kavovit,Other,https://www.barbarakformayor.com,msbarbarak
14,Christopher S. Krietchman,Other,https://csk4mayor.nyc,ChrisKrietchman
15,Abbey Laurel Smith,Republican,https://smithiegoeswest.com/,The47thPOTUS
16,Ray McGuire,Democrat,https://www.rayformayor.com/,RayForMayor
17,Carlos Menchaca,Democrat,https://carlos2021.com/,cmenchaca
18,Dianne Morales,Democrat,https://www.dianne.nyc/,Dianne4NYC
19,Bill Pepitone,Republican,https://billpepitonefornycmayor.com/,PepitoneForNYC
20,Angelo Pinto,Other,https://twitter.com/angelopinto720,angelopinto720
21,Paperboy Prince,Democrat,http://paperboyprince.com/,PaperboyPrince
22,Stacey Prussman,Other,https://www.prussmanformayor.com/aboutstacey,StaceyPrussman
23,Stephen Bishop Seely,Other,https://www.seely4mayor.com/,Seely4Mayor
24,Ira Seidman,Democrat,https://www.seidmanformayor.com/,IraSeidman
25,Curtis Sliwa,Republican,https://www.facebook.com/SliwaforNYC2021/,SliwaforNYC2021
26,Scott Stringer,Democrat,https://stringerformayor.com/,scottmstringer
27,Loree Sutton,Democrat,https://loreeformayor.nyc/,LoreeSuttonNYC
28,Ahsan Syed,Other,https://twitter.com/endorsenyc,endorsenyc
29,Joycelyn Taylor,Democrat,https://taylorfor2021.com/,Taylorfor2021
30,Sara Tirschwell,Republican,https://www.saraformayor.com,sara4mayor
31,Maya Wiley,Democrat,https://mayawileyformayor.com/,mayawiley
32,Isaac Wright Jr.,Democrat,https://wrightfornyc2021.com/,IsaacWrightJr
33,Andrew Yang,Democrat,https://www.yangforny.com/,AndrewYang
